jd,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,F10,F81,S10,S10B,XM10,XM10B
2457755.0,27,27,15,7,7,15,7,7,72.5,76.5,74.3,71.0,71.1,68.5
2457756.0,7,15,7,7,7,7,3,3,73.0,76.5,67.9,70.9,70.3,68.5
2457757.0,3,7,7,27,15,15,15,15,73.4,76.5,68.0,70.9,68.4,68.5
2457758.0,3,7,7,7,7,7,27,27,72.4,76.4,68.1,70.8,67.3,68.5
2457759.0,15,15,7,7,15,27,27,27,73.3,76.4,68.1,70.8,68.0,68.5
2457760.0,27,27,15,7,15,15,15,15,72.0,76.3,68.0,70.8,64.0,68.5
2457761.0,27,15,15,7,27,27,15,15,72.0,76.2,67.8,70.7,62.6,68.5
2457762.0,15,15,7,15,15,15,27,27,71.5,76.0,67.6,70.7,61.1,68.3
2457763.0,27,7,7,7,27,15,7,15,71.7,75.9,67.5,70.6,62.6,68.2
2457764.0,7,7,7,3,3,15,15,15,72.7,75.9,67.5,70.6,62.8,68.0
2457765.0,15,7,7,3,3,7,7,7,74.5,75.8,67.7,70.5,61.9,67.9
2457766.0,7,15,0,0,3,0,3,3,75.5,75.8,68.0,70.5,61.8,67.8
2457767.0,3,3,3,3,3,7,7,3,74.9,75.8,68.4,70.5,63.8,67.8
2457768.0,3,7,3,0,3,3,3,7,76.6,75.8,69.0,70.4,66.3,67.8
2457769.0,7,3,7,3,3,3,7,3,77.5,75.8,69.8,70.4,69.0,67.9
2457770.0,3,3,3,0,0,0,3,3,78.3,75.8,70.6,70.4,72.7,68.0
2457771.0,3,3,0,3,3,7,3,3,78.6,75.8,71.6,70.4,73.7,68.1
2457772.0,3,15,15,15,15,27,27,27,78.6,75.9,72.6,70.4,74.4,68.3
2457773.0,27,15,15,15,7,7,3,7,79.5,76.0,73.6,70.5,74.3,68.4
2457774.0,15,15,7,7,7,3,15,15,83.2,76.1,74.5,70.5,80.3,68.6
